reaction_id,prompt,answer
R-HSA-1028817,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: N/A
Reactants: p-T,4S-IRF3:p-T,4S-IRF3 [nucleoplasm] (complex of p-4S,T404-IRF3 [nucleoplasm] (UniProt: Q14653)), CREBBP,EP300 [nucleoplasm] (complex of CREBBP [nucleoplasm] (UniProt: Q92793), EP300 [nucleoplasm] (UniProt: Q09472))

START
","p-T,4S-IRF3:p-T,4S-IRF3:CREBBP, EP300 [nucleoplasm] (complex of p-4S,T404-IRF3 [nucleoplasm] (UniProt: Q14653), CREBBP [nucleoplasm] (UniProt: Q92793), EP300 [nucleoplasm] (UniProt: Q09472))"
R-HSA-109530,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: SLC28A1 [plasma membrane] (UniProt: O00337)
Reactants: ligands of SLC28A1 [extracellular region] (complex of dA [extracellular region] (ChEBI: 17256), Ade-Rib [extracellular region] (ChEBI: 16335), Cyt-Rib [extracellular region] (ChEBI: 17562), Thy-dRib [extracellular region] (ChEBI: 17748), Ura-Rib [extracellular region] (ChEBI: 16704)), Na+ [extracellular region] (ChEBI: 29101)

START
","ligands of SLC28A1 [cytosol] (complex of dA [cytosol] (ChEBI: 17256), Ade-Rib [cytosol] (ChEBI: 16335), Cyt-Rib [cytosol] (ChEBI: 17562), Thy-dRib [cytosol] (ChEBI: 17748), Ura-Rib [cytosol] (ChEBI: 16704)), Na+ [cytosol] (ChEBI: 29101)"
R-HSA-109998,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: DCI dimer [mitochondrial matrix] (complex of ECI1 [mitochondrial matrix] (UniProt: P42126))
Reactants: 3-trans-decenoyl-CoA [mitochondrial matrix] (ChEBI: 29126)

START
",tdec2-CoA [mitochondrial matrix] (ChEBI: 10723)
R-HSA-110231,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: MBD4:CpG(U:G)-dsDNA [nucleoplasm] (complex of MBD4 [nucleoplasm] (UniProt: O95243))
Reactants: MBD4:CpG(U:G)-dsDNA [nucleoplasm] (complex of MBD4 [nucleoplasm] (UniProt: O95243))

START
","Ura [nucleoplasm] (ChEBI: 17568), MBD4:CpG(AP)-dsDNA [nucleoplasm] (complex of MBD4 [nucleoplasm] (UniProt: O95243))"
R-HSA-110356,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: N/A
Reactants: APEX1 [nucleoplasm] (UniProt: P27695), MPG:AP-dsDNA [nucleoplasm] (complex of MPG [nucleoplasm] (UniProt: P29372))

START
","MPG [nucleoplasm] (UniProt: P29372), APEX1:AP-dsDNA [nucleoplasm] (complex of APEX1 [nucleoplasm] (UniProt: P27695))"
R-HSA-111285,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: N/A
Reactants: PPAT dimer [cytosol] (complex of PPAT [cytosol] (UniProt: Q06203), Fe2+ [cytosol] (ChEBI: 29033), S [cytosol] (ChEBI: 17909))

START
","PPAT tetramer [cytosol] (complex of PPAT [cytosol] (UniProt: Q06203), Fe2+ [cytosol] (ChEBI: 29033), S [cytosol] (ChEBI: 17909))"
R-HSA-112034,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: PNP trimer [cytosol] (complex of PNP [cytosol] (UniProt: P00491))
Reactants: Gua [cytosol] (ChEBI: 16235), R1P, dRibP [cytosol] (complex of R1P [cytosol] (ChEBI: 57720), dRibP [cytosol] (ChEBI: 58576))

START
","Pi [cytosol] (ChEBI: 43474), G, dG [cytosol] (complex of Gua-Rib [cytosol] (ChEBI: 16750), dG [cytosol] (ChEBI: 17172))"
R-HSA-112396,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: N/A
Reactants: Elongation complex prior to separation [nucleoplasm] (complex of GTF2F1 [nucleoplasm] (UniProt: P35269), GTF2F2 [nucleoplasm] (UniProt: P13984), POLR2J [nucleoplasm] (UniProt: P52435), POLR2F [nucleoplasm] (UniProt: P61218), POLR2I [nucleoplasm] (UniProt: P36954), POLR2B [nucleoplasm] (UniProt: P30876), POLR2D [nucleoplasm] (UniProt: O15514), POLR2G [nucleoplasm] (UniProt: P62487), POLR2E [nucleoplasm] (UniProt: P19388), POLR2C [nucleoplasm] (UniProt: P19387), POLR2L [nucleoplasm] (UniProt: P62875), POLR2K [nucleoplasm] (UniProt: P53803), POLR2H [nucleoplasm] (UniProt: P52434), p-S2,S5(CTD)-POLR2A [nucleoplasm] (UniProt: P24928), TCEA1 [nucleoplasm] (UniProt: P23193), SSRP1 [nucleoplasm] (UniProt: Q08945), SUPT16H [nucleoplasm] (UniProt: Q9Y5B9), TCEB1 [nucleoplasm] (UniProt: Q15369), TCEB2 [nucleoplasm] (UniProt: Q15370), TCEB3 [nucleoplasm] (UniProt: Q14241), TCEB3B [nucleoplasm] (UniProt: Q8IYF1), ELL [nucleoplasm] (UniProt: P55199), CTDP1 [nucleoplasm] (UniProt: Q9Y5B0), NELFA [nucleoplasm] (UniProt: Q9H3P2), NELFB [nucleoplasm] (UniProt: Q8WX92), NELFCD [nucleoplasm] (UniProt: Q8IXH7), NELFE [nucleoplasm] (UniProt: P18615), SUPT4H1 [nucleoplasm] (UniProt: P63272), p-SUPT5H [nucleoplasm] (UniProt: O00267), CDK9 [nucleoplasm] (UniProt: P50750), CCNK [nucleoplasm] (UniProt: O75909), CCNT1 [nucleoplasm] (UniProt: O60563), CCNT2 [nucleoplasm] (UniProt: O60583), CDC73 [nucleoplasm] (UniProt: Q6P1J9), CTR9 [nucleoplasm] (UniProt: Q6PD62), LEO1 [nucleoplasm] (UniProt: Q8WVC0), PAF1 [nucleoplasm] (UniProt: Q8N7H5), RTF1 [nucleoplasm] (UniProt: Q92541), WDR61 [nucleoplasm] (UniProt: Q9GZS3), AFF4 [nucleoplasm] (UniProt: Q9UHB7), EAF1 [nucleoplasm] (UniProt: Q96JC9), EAF2 [nucleoplasm] (UniProt: Q96CJ1), MLLT3 [nucleoplasm] (UniProt: P42568), IWS1 [nucleoplasm] (UniProt: Q96ST2), SUPT6H [nucleoplasm] (UniProt: Q7KZ85), MLLT1 [nucleoplasm] (UniProt: Q03111), NTP [nucleoplasm] (ChEBI: 61557))

START
","Elongation complex with separated and uncleaved transcript [nucleoplasm] (complex of GTF2F1 [nucleoplasm] (UniProt: P35269), GTF2F2 [nucleoplasm] (UniProt: P13984), POLR2J [nucleoplasm] (UniProt: P52435), POLR2F [nucleoplasm] (UniProt: P61218), POLR2I [nucleoplasm] (UniProt: P36954), POLR2B [nucleoplasm] (UniProt: P30876), POLR2D [nucleoplasm] (UniProt: O15514), POLR2G [nucleoplasm] (UniProt: P62487), POLR2E [nucleoplasm] (UniProt: P19388), POLR2C [nucleoplasm] (UniProt: P19387), POLR2L [nucleoplasm] (UniProt: P62875), POLR2K [nucleoplasm] (UniProt: P53803), POLR2H [nucleoplasm] (UniProt: P52434), p-S2,S5(CTD)-POLR2A [nucleoplasm] (UniProt: P24928), TCEA1 [nucleoplasm] (UniProt: P23193), SSRP1 [nucleoplasm] (UniProt: Q08945), SUPT16H [nucleoplasm] (UniProt: Q9Y5B9), TCEB1 [nucleoplasm] (UniProt: Q15369), TCEB2 [nucleoplasm] (UniProt: Q15370), TCEB3 [nucleoplasm] (UniProt: Q14241), TCEB3B [nucleoplasm] (UniProt: Q8IYF1), ELL [nucleoplasm] (UniProt: P55199), CTDP1 [nucleoplasm] (UniProt: Q9Y5B0), NELFA [nucleoplasm] (UniProt: Q9H3P2), NELFB [nucleoplasm] (UniProt: Q8WX92), NELFCD [nucleoplasm] (UniProt: Q8IXH7), NELFE [nucleoplasm] (UniProt: P18615), SUPT4H1 [nucleoplasm] (UniProt: P63272), p-SUPT5H [nucleoplasm] (UniProt: O00267), CDK9 [nucleoplasm] (UniProt: P50750), CCNK [nucleoplasm] (UniProt: O75909), CCNT1 [nucleoplasm] (UniProt: O60563), CCNT2 [nucleoplasm] (UniProt: O60583), CDC73 [nucleoplasm] (UniProt: Q6P1J9), CTR9 [nucleoplasm] (UniProt: Q6PD62), LEO1 [nucleoplasm] (UniProt: Q8WVC0), PAF1 [nucleoplasm] (UniProt: Q8N7H5), RTF1 [nucleoplasm] (UniProt: Q92541), WDR61 [nucleoplasm] (UniProt: Q9GZS3), AFF4 [nucleoplasm] (UniProt: Q9UHB7), EAF1 [nucleoplasm] (UniProt: Q96JC9), EAF2 [nucleoplasm] (UniProt: Q96CJ1), MLLT3 [nucleoplasm] (UniProt: P42568), IWS1 [nucleoplasm] (UniProt: Q96ST2), SUPT6H [nucleoplasm] (UniProt: Q7KZ85), MLLT1 [nucleoplasm] (UniProt: Q03111), NTP [nucleoplasm] (ChEBI: 61557))"
R-HSA-114259,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: APAF1:CYCS:ATP:CASP9(1-416)dimer  [cytosol] (complex of APAF1 [cytosol] (UniProt: O14727), CYCS [cytosol] (UniProt: P99999), CASP9(1-416) [cytosol] (UniProt: P55211))
Reactants: APAF1:CYCS:ATP:CASP9(1-416)dimer  [cytosol] (complex of APAF1 [cytosol] (UniProt: O14727), CYCS [cytosol] (UniProt: P99999), CASP9(1-416) [cytosol] (UniProt: P55211))

START
","Apoptosome [cytosol] (complex of APAF1 [cytosol] (UniProt: O14727), CYCS [cytosol] (UniProt: P99999), CASP9(?-315) [cytosol] (UniProt: P55211)), ADP [cytosol] (ChEBI: 456216)"
R-HSA-114689,"You are an expert in molecular biology and biochemistry. You are given a biological pathway event described by the its reactants. Describe the identity of the reactants then reason about how they interact before predicting the products of the event. Output exactly this format:

START
Analysis: <2-5 sentences>
Type: <reaction_type>
Products: <product1>; <product2>; ...
END

---
Pathway Event Information:
Enzyme: p-PLCG2 [plasma membrane] (UniProt: P16885)
Reactants: PI(4,5)P2 [plasma membrane] (ChEBI: 58456)

START
","I(1,4,5)P3 [cytosol] (ChEBI: 203600), DAG [plasma membrane] (ChEBI: 17815)"
